"< Street Line %1 >","< Street Line %1 >"
"Customer Address","Dirección del cliente"
"Delete Branch","Borrar sucursal"
"Delete Operatory","Delete operatoria"
Branches,Sucursales
Floor,Piso
Department,Departmento
"New Branch","Nueva sucursal"
"Something went wrong while saving the Branch.","Ocurrió un error al intentar guardar la sucursal."
"You saved the Branch","La sucursal fue guardada"
"There was a problem saving the Branch","Ocurrió un problema al intentar guardar la sucursal"
Operatories,Operatorias
"New Operatory","Nueva operatoria"
"Something went wrong while saving the Operatory.","Ocurrió un error al intentar guardar la operatoria."
"You saved the Operatory","La operatoria fue guardada"
"There was a problem saving the Operatory","Ocurrió un problema al intentar guardar la operatoria"
"Could not save the Branch: %1","No se pudo guardar la sucursal: %1"
"Requested Branch doesn't exist","La sucursal solicitada no existe"
"Unable to removeBranch %1","No fue posible borrar la sucursal %1"
Millimeters,Milímetros
Centimeters,Centímetros
Meters,Metros
"Could not save the Operatory: %1","No se pudo guardar la operatoria: %1"
"Requested Operatory doesn't exist","La operatoria solicitada no existe"
"Unable to removeOperatory %1","No fue posible borrar la operatoria %1"
"Are you sure you want to delete the Branch ""${ $.$data.name }"" ?","¿Está seguro de querer borrar la sucursal ""${ $.$data.name }"" ?"
"Are you sure you want to delete the Operatory ""${ $.$data.name }"" ?","¿Está seguro de querer borrar la operatoria ""${ $.$data.name }"" ?"
"An error occurred while deleting Operatories.","Ocurrió un error al borrar operatorias."
"Operatory was deleted","La operatoria fue borrada"
"Requested Operatory for delete does not exist.","La operatoria solicitada para borrar no existe."
"There was a problem deleting the Operatory","Ocurrió un problema al borrar la operatoria."
"An error occurred while deleting Branches.","Ocurrió un error al borrar las sucursales."
"Branch was deleted","La sucursal fue borrada"
"Requested Branch for delete does not exist.","La sucursal solicitada para borrar no existe."
"There was a problem deleting the Branch","Ocurrió un problema al borrar la sucursal"
"Days to send","Días para envío"
"Days to send (Extra)","Días para envío (Adicionales)"
"Reception time","Horario de recepción"
Volume,Volúmen
"Min box volume","Volúmen mínimo de la caja"
"Product width attribute","Atributo de ancho del producto"
"Product height attribute","Atributo de alto del producto"
"Product length attribute","Atributo de largo del producto"
"Unit product attribute","Unidad de medida de los atributos"
"Branch Information","Información de la sucursal"
"Add New Branch","Agregar sucusal"
"Are you sure you wan't to delete selected Branches?","¿Está seguro de borrar las sucursales seleccionadas?"
"Operatory Information","Información de operatoria"
"Uses id centro imposicion","Usar centro imposicion"
"Pays on destination branch","Pago en sucursal"
"Add New Operatory","Agregar operatoria"
"Are you sure you wan't to delete selected Operatories?","¿Está seguro de borrar las operatorias seleccionadas?"
"-- Select a branch --", "-- Seleccionar una sucursal --"
"The branch is required", "La sucursal es requerida"
"Branch to door","Sucursal a puerta"
"Branch to branch","Sucursal a sucursal"
"Door to door","Puerta a puerta"
"Door to branch","Puerta a sucursal"
